California County,census_tract,hispanic,white,african_american,native_american,asian_american,other,unemployment,poverty,ces_pollution_score,ozone,pesticides,tox_release,asthma,cardiovascular_disease,low_birth_weight
Los Angeles,6037570202.0,62.5,8.2,16.8,0.2,10.2,2.1,19.9,44.8,63.99,0.042,61.01,6196.239534,62.76,8.16,6.99
Los Angeles,6037541604.0,81.4,0.6,16.7,0.2,0.3,0.7,18.4,77.5,63.96,0.044000000000000004,0.0,5974.851237,79.9,12.39,6.38
Los Angeles,6037535300.0,91.6,1.0,7.0,0.0,0.1,0.3,14.0,69.5,63.92,0.044000000000000004,0.0,5916.3020700000025,71.89,10.87,5.41
Los Angeles,6037123304.0,50.8,39.2,3.2,0.1,4.4,2.2,18.8,58.4,63.9,0.055,0.0,1092.164091,56.33,9.97,5.68
Los Angeles,6037536102.0,74.1,17.8,1.8,0.2,5.3,0.8,9.1,36.4,63.9,0.044000000000000004,0.02,8183.524768000001,37.83,9.23,7.69
Los Angeles,6037237202.0,61.3,0.8,35.8,0.1,0.3,1.8,11.5,47.1,63.82,0.046,0.0,3648.4403420000003,137.25,10.85,7.76
Riverside ,6065030400.0,78.0,7.2,11.5,0.4,1.5,1.4,12.9,59.7,63.8,0.065,0.0,1172.7745419999999,61.75,9.13,5.06
Los Angeles,6037542502.0,57.1,0.6,40.4,0.6,0.7,0.6,20.0,60.7,63.76,0.044000000000000004,0.0,6050.658398,110.81,12.82,9.17
Los Angeles,6037127104.0,52.5,32.4,4.6,0.2,8.0,2.4,21.8,54.3,63.75,0.055,0.0,921.6040264000001,98.74,13.75,7.67
Fresno ,6019002800.0,63.1,8.0,4.5,0.6,22.4,1.4,21.5,80.2,63.65,0.065,0.0,2441.611601,100.91,12.3,7.65
Los Angeles,6037433901.0,76.7,2.3,0.5,0.1,19.8,0.7,11.5,70.9,63.58,0.05,0.0,7215.084651,63.26,8.05,5.3
San Bernardino,6071004003.0,83.6,12.4,2.0,0.3,0.9,0.8,15.1,52.3,63.54,0.065,1.32,1187.284401,48.17,8.99,6.54
Los Angeles,6037302505.0,43.5,38.8,1.5,0.1,13.3,2.7,16.6,65.5,63.53,0.05,0.0,2504.472243,54.47,11.24,7.24
San Joaquin,6077002000.0,75.9,8.6,11.9,0.3,1.9,1.5,18.8,68.5,63.53,0.046,23.61,574.7101756,80.48,11.23,5.74
